Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/P_USE/27/Page_Bluuu/div__arrow-down_1""))",Chrome 88.0.4324.182,,,2021-02-24 14:12:27,2021-02-24 14:12:30,2.920s,PASSED
"click(findTestObject(""Object Repository/P_USE/27/Page_Bluuu/li_2""))",Chrome 88.0.4324.182,,,2021-02-24 14:12:30,2021-02-24 14:12:33,3.088s,PASSED
"click(findTestObject(""Object Repository/P_USE/27/Page_Bluuu/div__arrow-down_1_2""))",Chrome 88.0.4324.182,,,2021-02-24 14:12:33,2021-02-24 14:12:36,2.927s,PASSED
"click(findTestObject(""Object Repository/P_USE/27/Page_Bluuu/li_""))",Chrome 88.0.4324.182,,,2021-02-24 14:12:36,2021-02-24 14:12:39,3.093s,PASSED
"click(findTestObject(""Object Repository/P_USE/27/Page_Bluuu/span_""))",Chrome 88.0.4324.182,,,2021-02-24 14:12:39,2021-02-24 14:12:40,0.493s,PASSED
"click(findTestObject(""Object Repository/P_USE/27/Page_Bluuu/button__1""))",Chrome 88.0.4324.182,,,2021-02-24 14:12:40,2021-02-24 14:12:40,0.491s,PASSED
"setText(findTestObject(""Object Repository/P_USE/27/Page_Bluuu/input____BVID__282""), ""WELCOME30"")",Chrome 88.0.4324.182,,,2021-02-24 14:12:40,2021-02-24 14:12:47,6.548s,PASSED
"click(findTestObject(""Object Repository/P_USE/27/Page_Bluuu/button__1_2""))",Chrome 88.0.4324.182,,,2021-02-24 14:12:47,2021-02-24 14:12:47,0.393s,PASSED
"cop = getText(findTestObject(""Object Repository/P_USE/27/Page_Bluuu/p_ 350.00""))",Chrome 88.0.4324.182,,,2021-02-24 14:12:47,2021-02-24 14:12:48,0.443s,PASSED
"if (cop == ""฿ 350.00"")",Chrome 88.0.4324.182,,,2021-02-24 14:12:48,2021-02-24 14:12:48,0.682s,PASSED
,,,,,,,
Test Cases/Special Case/29_No_maid,Chrome 88.0.4324.182,,,2021-02-24 14:12:48,2021-02-24 14:13:43,54.901s,PASSED
"openBrowser("""")",Chrome 88.0.4324.182,,,2021-02-24 14:12:49,2021-02-24 14:12:50,1.113s,PASSED
"navigateToUrl(""https://uat.bluuu.co/"")",Chrome 88.0.4324.182,,,2021-02-24 14:12:50,2021-02-24 14:12:56,5.836s,PASSED
maximizeWindow(),Chrome 88.0.4324.182,,,2021-02-24 14:12:56,2021-02-24 14:12:56,0.192s,PASSED
"click(findTestObject(""Object Repository/P_USE/29/Page_Bluuu -/a_""))",Chrome 88.0.4324.182,,,2021-02-24 14:12:56,2021-02-24 14:12:57,1.013s,PASSED
"click(findTestObject(""Object Repository/P_USE/29/Page_Bluuu/svg__vc-svg-icon""))",Chrome 88.0.4324.182,,,2021-02-24 14:12:57,2021-02-24 14:12:58,1.208s,PASSED
"click(findTestObject(""Object Repository/P_USE/29/Page_Bluuu/span_31""))",Chrome 88.0.4324.182,,,2021-02-24 14:12:58,2021-02-24 14:13:01,3.070s,PASSED
"click(findTestObject(""Object Repository/P_USE/29/Page_Bluuu/div__arrow-down""))",Chrome 88.0.4324.182,,,2021-02-24 14:13:01,2021-02-24 14:13:04,2.977s,PASSED
"click(findTestObject(""Object Repository/P_USE/29/Page_Bluuu/li_1900""))",Chrome 88.0.4324.182,,,2021-02-24 14:13:04,2021-02-24 14:13:08,3.224s,PASSED
"setText(findTestObject(""Object Repository/P_USE/29/Page_Bluuu/input____BVID__185""), ""to"")",Chrome 88.0.4324.182,,,2021-02-24 14:13:08,2021-02-24 14:13:14,6.399s,PASSED
delay(2),Chrome 88.0.4324.182,,,2021-02-24 14:13:14,2021-02-24 14:13:16,2.003s,PASSED
